Id,Title,Author
2216,Kicking the Sky,Anthony De Sa
2217,Bliss,O.Z. Livaneli
2218,Gone with the Windsors,Laurie Graham
2219,The Little Sentinel Of The Sierra Nevada,Paul        Williams
2220,An Appetite for Violets,Martine Bailey
2221,In the Beginning,Chaim Potok
2222,Fludd,Hilary Mantel
2223,A Dream of Red Mansions,Xueqin Cao
2224,Girl on the Golden Coin,Marci Jefferson
2225,Soldados de Salamina,Javier Cercas
2226,This Side of Brightness,Colum McCann
2227,Through the Barricades,Denise Deegan
2228,King Arthur and His Knights: Selected Tales,Thomas Malory
2229,Raden Mandasia si Pencuri Daging Sapi,Yusi Avianto Pareanom
2230,Three Novels of Old New York: The House of Mirth; The Custom of the Country; The Age of Innocence,Edith Wharton
2231,Ragnarok,A.S. Byatt
2232,Middlemarch,George Eliot
2233,Filippa,Kristiina Vuori
2234,Harda,ElÅ¼bieta ChereziÅska
2235,A Christmas Carol,Charles Dickens
2236,The History of Danish Dreams,Peter HÃ¸eg
2237,Rupert of Hentzau,Anthony Hope
2238,Dog Soldiers,Robert  Stone
2239,The Book About Blanche and Marie,Per Olov Enquist
2240,The Death of King Arthur,Unknown
2241,Frances's Story,Ruth Elwin Harris
2242,Can You Forgive Her?,Anthony Trollope
2243,Under the North Star,VÃ¤inÃ¶ Linna
2244,Diary of a Provincial Lady,E.M. Delafield
2245,O Evangelho do Enforcado,David Soares
2246,The Time of the Doves,MercÃ¨ Rodoreda
2247,The Green Gauntlet,R.F. Delderfield
2248,Lady of the English,Elizabeth Chadwick
2249,Balthazar,Lawrence Durrell
2250,"Guenevere, Queen of the Summer Country",Rosalind Miles
2251,Death and Nightingales,Eugene McCabe
2252,Der Geiger,Mechtild Borrmann
2253,Argall: The True Story of Pocahontas and Captain John Smith,William T. Vollmann
2254,The Eye in the Door,Pat Barker
2255,"Taiko 8 - Tahun Tensho Kesepuluh 1582, Musim Panas",Eiji Yoshikawa
2256,The Blood of Others,Simone de Beauvoir
2257,Shadows on the Hudson,Isaac Bashevis Singer
2258,The Sons of Adam,Eva GarcÃ­a SÃ¡enz
2259,Taras Bulba,Nikolai Gogol
2260,Karna's Wife: The Outcast's Queen,Kavita KanÃ©
2261,Le hussard sur le toit,Jean Giono
2262,Diary of a Jewish Muslim: An Egyptian Novel,Kamal Ruhayyim
2263,Cantik itu Luka,Eka Kurniawan
2264,Noticias del Imperio,Fernando del Paso
2265,Prague,Arthur Phillips
2266,The War of Don Emmanuel's Nether Parts,Louis de BerniÃ¨res
2267,Love on the Dole,Walter Greenwood
2268,"I, JFK",Robert  Mayer
2269,"F. Scott Fitzgerald: The Great Gatsby: Essays, Articles, Reviews",Nicolas Tredell
2270,In the Image,Dara Horn
2271,The Hidden Hand,E.D.E.N. Southworth
2272,The Debt of Tears,Xueqin Cao
2273,The Human Comedy,William Saroyan
2274,Mountolive,Lawrence Durrell
2275,The Book of Lights,Chaim Potok
2276,Gather the Shadowmen,Mark M. McMillin
2277,Potent Pleasures,Eloisa James
2278,Rebecca's Tale,Sally Beauman
2279,Half a Life,V.S. Naipaul
2280,The Tsar's Dwarf,Peter H. Fogtdal
2281,Un Asunto Tenebroso,HonorÃ© de Balzac
2282,Ricasoli Soldier: A Novel Inspired by True Events,Joe Scicluna
2283,Casanova,Andrew  Miller
2284,Scenes of Clerical Life,George Eliot
2285,Lord Mord,MiloÅ¡ Urban
2286,Taiko 1 - Tahun Temmon Kelima 1536,Eiji Yoshikawa
2287,A Hand Full of Stars,Rafik Schami
2288,"Anna Karenina, Vol 1 of 2",Leo Tolstoy
2289,Agaat,Marlene van Niekerk
2290,Sevdalinka,AyÅe Kulin
2291,Devlet Ana,Kemal Tahir
2292,Troilus and Criseyde,Geoffrey Chaucer
2293,Frog,Mo Yan
2294,Stillwater,Nicole Helget
2295,Masked Love,Nicole Zoltack
2296,Koreni,Dobrica ÄosiÄ
2297,A True Novel,Minae Mizumura
2298,Apricots and Wolfsbane,K.M. Pohlkamp
2299,Lady's Maid,Margaret Forster
2300,Restoration,Rose Tremain
2301,Invandrarna,Vilhelm Moberg
2302,Mr. Rosenblum Dreams in English,Natasha Solomons
2303,The Orchard Keeper,Cormac McCarthy
2304,Kastel Awan Burung Gereja,Takashi Matsuoka
2305,Brothers,Bernice Rubens
2306,Middle Passage,Charles R. Johnson
2307,Nothing Like the Sun,Anthony Burgess
2308,The Nigger of the Narcissus,Joseph Conrad
2309,Coolie,Mulk Raj Anand
2310,Clea,Lawrence Durrell
2311,The Paper Garden: Mrs. Delany Begins Her Life's Work at 72,Molly Peacock
2312,The Secret History of Costaguana,Juan Gabriel VÃ¡squez
2313,The Collector of Worlds,Ilija Trojanow
2314,A Far Cry from Kensington,Muriel Spark
2315,Tinisima: Novela,Elena Poniatowska
2316,The Lie,Helen Dunmore
2317,The Heaven Tree,Edith Pargeter
2318,Das gelobte Land,Erich Maria Remarque
2319,"The Journey to the West, Volume 1",Wu Cheng'en
2320,Roro Mendut,Y.B. Mangunwijaya
2321,The Last Queen,C.W. Gortner
2322,Parallel Stories: A Novel,PÃ©ter NÃ¡das
2323,Old Filth,Jane Gardam
2324,The Ambassadors,Henry James
2325,Devotion and the Devil,Mark  Montgomery
2326,The Twins,Tessa de Loo
2327,The Revolution of the Moon,Andrea Camilleri
2328,The Rain Before it Falls,Jonathan Coe
2329,Hana,Alena MornÅ¡tajnovÃ¡
2330,Il valzer degli alberi e del cielo. L'ultimo amore di Van Gogh,Jean-Michel Guenassia
2331,Taliessin Through Logres and the Region of the Summer Stars,Charles  Williams
2332,Shipwrecks,Akira Yoshimura
2333,Pride and Prejudice,Jane Austen
2334,Guerra y paz,Leo Tolstoy
2335,The Surrounded,D'Arcy McNickle
2336,Mrs. Bridge,Evan S. Connell
2337,The Rise of David Levinsky,Abraham Cahan
2338,Owls Do Cry,Janet Frame
2339,Proof by Seduction,Courtney Milan
2340,Sepharad,Antonio MuÃ±oz Molina
2341,The Warning Voice,Xueqin Cao
2342,Splendid,Julia Quinn
2343,The House at Old Vine,Norah Lofts
2344,Billy Phelan's Greatest Game,William  Kennedy
2345,Isle of Destiny,Kenneth C. Flint
2346,The Queen's Man,Sharon Kay Penman
2347,A Tale of Two Cities / Great Expectations,Charles Dickens
2348,Hereward,James Wilde
2349,The Black Tulip,Alexandre Dumas
2350,"Bom dia, camaradas",Ondjaki
2351,The Rape of Lucrece,William Shakespeare
2352,Omega Minor,Paul Verhaeghen
2353,A Faraway Island,Annika Thor
2354,Fausto / Werther,Johann Wolfgang von Goethe
2355,On Solway Sand,Mark  Montgomery
2356,El informe de Brodeck,Philippe Claudel
2357,In the Country of Men,Hisham Matar
2358,Kintu,Jennifer Nansubuga Makumbi
2359,Zenzele: A Letter for My Daughter,J. Nozipo Maraire
2360,The Virgin in the Garden,A.S. Byatt
2361,Summer Lightning,P.G. Wodehouse
2362,Casanova in Bolzano,SÃ¡ndor MÃ¡rai
2363,De Winst,Afifah Afra
2364,The Scarlet Kimono,Christina Courtenay
2365,Europe Central,William T. Vollmann
2366,The Virtues of War: A Novel of Alexander the Great,Steven Pressfield
2367,The Hunters,James Salter
2368,Clouds of Witness,Dorothy L. Sayers
2369,The King's Pleasure,Norah Lofts
2370,Mikael Karvajalka,Mika Waltari
2371,The Death of the Adversary,Hans Keilson
2372,Christ in Concrete,Pietro Di Donato
2373,The Piano Tuner,Daniel       Mason
2374,Eldens Hemlighet,Henning Mankell
2375,Twilight,William Gay
2376,The Last Testament of Oscar Wilde,Peter Ackroyd
2377,Mothering Sunday,Graham Swift
2378,Risiko,Steffen Kopetzky
2379,O Plano de Miss Fairbourne,Madeline Hunter
2380,Still Life,A.S. Byatt
2381,The Secret Bride,Diane Haeger
2382,Dream of the Walled City,Lisa Huang Fleischman
2383,Het meisje dat verdween,Els Florijn
2384,The House of Blue Mangoes,David Davidar
2385,Trade Winds,Christina Courtenay
2386,"Henry VI, Part 1",William Shakespeare
2387,The White Feather,P.G. Wodehouse
2388,Ancient Evenings,Norman Mailer
2389,In Zeiten des abnehmenden Lichts,Eugen Ruge
2390,Lamentation,C.J. Sansom
2391,Harlem Duet,Djanet Sears
2392,Tristan,Gottfried von StraÃburg
2393,Children of the Arbat,Anatoli Rybakov
2394,Rabble in Arms,Kenneth Roberts
2395,Le Silence de la mer,Vercors
2396,A Taste for Nightshade,Martine Bailey
2397,The Death of the Gods,Dmitry Merezhkovsky
2398,The Bruce Trilogy: The Steps to the Empty Throne / The Path of the Hero King / The Price of the King's Peace,Nigel Tranter
2399,Blue Nude,Elizabeth Rosner
2400,Marianela,Benito PÃ©rez GaldÃ³s
2401,The Countess and the King: A Novel of the Countess of Dorchester and King James II,Susan Holloway Scott
2402,The Scorching Wind,Walter Macken
2403,Martin Dressler: The Tale of an American Dreamer,Steven Millhauser
2404,The Golden Age,Gore Vidal
2405,The Edge of Ruin: An Emily Weiss Mystery,Irene Fleming
2406,A Long Long Way,Sebastian Barry
2407,Last Friends,Jane Gardam
2408,Translations,Brian Friel
2409,The Weight of Ink,Rachel Kadish
2410,Beyond the Weir Bridge,Hester Burton
2411,Frydenholm,Hans Scherfig
2412,The Ballad of the White Horse,G.K. Chesterton
2413,"Oh, Kentucky!",Betty Layman Receveur
2414,"The Awakening Land: The Trees, The Fields, & The Town",Conrad Richter
2415,The Fortune of the Rougons,Ãmile Zola
2416,The Man in the Wooden Hat,Jane Gardam
2417,"Egipcjanin Sinuhe, tom 1",Mika Waltari
2418,De legende en de heldhaftige vroolijke en roemrijke daden van Uilenspiegel en Lamme Goedzak in Vlaanderenland en elders,Charles de Coster
2419,The Emigrants,W.G. Sebald
2420,The Skin,Curzio Malaparte
2421,Der Reisende,Ulrich Alexander Boschwitz
2422,Porius,John Cowper Powys
2423,The Passport,Herta MÃ¼ller
2424,Henrys Freedom Box,Ellen Levine
2425,Secrets of the Tudor Court,D.L. Bogdan
2426,The Loving Cup,Winston Graham
2427,The Emperor's Tomb,Joseph Roth
2428,Faraon,BolesÅaw Prus
2429,No Name,Wilkie Collins
2430,Hannah Coulter,Wendell Berry
2431,The Siege,Ismail Kadare
2432,Het lot van de familie Meijer,Charles Lewinsky
2433,Fitzempress' Law,Diana Norman
2434,The Town House,Norah Lofts
2435,"Egipcjanin Sinuhe, tom 2",Mika Waltari
2436,Historia del rey transparente,Rosa Montero
2437,Jane Eyre,Charlotte BrontÃ«
2438,Babouk: Voices of Resistance,Guy Endore
2439,The Secret Diary of Anne Boleyn,Robin Maxwell
2440,Twilight,Elie Wiesel
2441,The Law and the Lady,Wilkie Collins
2442,Leonora,Elena Poniatowska
2443,Babel Tower,A.S. Byatt
2444,The Athenian Murders,JosÃ© Carlos Somoza
2445,The Eternal Wonder,Pearl S. Buck
2446,Erevan (FICTION FRANCAISE (SC)),Gilbert SinouÃ©
2447,A Rainha Predileta,Carolly Erickson
2448,A Breath of Fresh Air,Amulya Malladi
2449,To Lie with Lions,Dorothy Dunnett
2450,The Forest,Edward Rutherfurd
2451,The Forbidden Daughter,Shobhan Bantwal
2452,Red Midnight,Thomas Hal Phillips
2453,"Dispara, yo ya estoy muerto",Julia Navarro
2454,The FitzOsbornes at War,Michelle   Cooper
2455,Crossing Bok Chitto: A Choctaw Tale of Friendship & Freedom,Tim Tingle
2456,Gardens in the Dunes,Leslie Marmon Silko
2457,"Ursula, Under",Ingrid  Hill
2458,Lady Macbeth,Susan Fraser King
2459,The Book of Ebenezer Le Page,G.B. Edwards
2460,Mr. Chartwell,Rebecca Hunt
2461,The Blue Afternoon,William  Boyd
2462,Annie Dunne,Sebastian Barry
2463,The Trumpet-Major,Thomas Hardy
2464,Last of the Amazons,Steven Pressfield
2465,Verbannt ans Ende der Welt,Rainer M. SchrÃ¶der
2466,The Confessions of Catherine de Medici,C.W. Gortner
2467,La piel del tambor,Arturo PÃ©rez-Reverte
2468,El siglo de las luces,Alejo Carpentier
2469,The Toss of a Lemon,Padma Viswanathan
2470,Dark Angels,Karleen Koen
2471,The Forever Queen,Helen Hollick
2472,A Walk on the Wild Side,Nelson Algren
2473,Bright's Passage,Josh Ritter
2474,The Foundling,Georgette Heyer
2475,A Man of the People,Chinua Achebe
2476,"Vengeance Is Mine: A Novel Of Anne Boleyn, Katherine Howard, And Lady Rochford  The Woman Who Helped Destroy Them Both",Brandy Purdy
2477,The Forest of Hours,Kerstin Ekman
2478,A Strangeness in My Mind,Orhan Pamuk
2479,Now Face to Face,Karleen Koen
2480,The Concubine,Norah Lofts
2481,Redemption Falls,Joseph O'Connor
2482,Arvet efter Arn,Jan Guillou
2483,The Bondwoman's Narrative,Hannah Crafts
2484,Framley Parsonage,Anthony Trollope
2485,Los de Abajo,Mariano Azuela
2486,The Talisman,Walter Scott
2487,Iron Scouts of the Confederacy,Lee McGiffin
2488,Max Havelaar,Multatuli
2489,The Kingdom at the End of the Road,Jan Guillou
2490,Bless This House,Norah Lofts
2491,The Garlic Ballads,Mo Yan
2492,The Love Knot,Elizabeth Chadwick
2493,The Princess in the Tower,Sharon Stewart
2494,Mal de amores,Ãngeles Mastretta
2495,Fires on the Plain,ShÅhei Åoka
2496,The Rising of the Moon,William Martin
2497,Ghost Light,Joseph O'Connor
2498,Barnaby Rudge,Charles Dickens
2499,Captive Queen: A Novel of Eleanor of Aquitaine,Alison Weir
2500,The Crown,Nancy Bilyeau
2501,Random Harvest,James Hilton
2502,The Exiled,Posie Graeme-Evans
2503,Empress of Rome,Kate Quinn
2504,Lady of the Reeds,Pauline Gedge
2505,Canone inverso,Paolo Maurensig
2506,The Road to Jerusalem,Jan Guillou
2507,El puente de los asesinos,Arturo PÃ©rez-Reverte
2508,The Innocent,Posie Graeme-Evans
2509,The Washing of the Spears: A History of the Rise of the Zulu Nation Under Shaka and Its Fall in the Zulu War of 1879,Donald R. Morris
2510,Tipperary,Frank Delaney
2511,In The Place of Fallen Leaves,Tim Pears
2512,Inheritance,Lan Samantha Chang
2513,Daughters of Rome,Kate Quinn
2514,Arok Dedes,Pramoedya Ananta Toer
2515,Betvingade,Simona Ahrnstedt
2516,Riven Rock,T. Coraghessan Boyle
2517,The Adventure of Black Peter,Arthur Conan Doyle
2518,My Lady of Cleves,Margaret Campbell Barnes
2519,Kara Ben Nemsi,Karl May
2520,The Yellow House,Patricia Falvey
2521,The Deerslayer,James Fenimore Cooper
2522,Goblin Market,Christina Rossetti
2523,Rape of the Fair Country,Alexander Cordell
2524,The Captain's Daughter,Alexander Pushkin
2525,The Rabbi's Cat,Joann Sfar
2526,Nemesis,Philip Roth
2527,Der Weg nach Camelot,Peter Schwindt
2528,"Memed, My Hawk",YaÅar Kemal
2529,Negara Kelima,E.S. Ito
2530,The Rebellion of Jane Clarke,Sally Cabot Gunning
2531,Sir Nigel and the White Company,Arthur Conan Doyle
2532,Zofloya,Charlotte Dacre
2533,Quarantine,Jim Crace
2534,Selected Poems,Christina Rossetti
2535,The Brothers Ashkenazi,Israel J. Singer
2536,Lost Nation,Jeffrey Lent
2537,Lady Susan,Jane Austen
2538,Waiting for the Mahatma,R.K. Narayan
2539,The Family on Paradise Pier,Dermot Bolger
2540,A Cloud on Sand,Gabriella De Ferrari
2541,Child of the Northern Spring,Persia Woolley
2542,Il vino della solitudine,IrÃ¨ne NÃ©mirovsky
2543,Grand Days,Frank Moorhouse
2544,El prisionero del cielo,Carlos Ruiz ZafÃ³n
2545,The Gospel According to the Son,Norman Mailer
2546,Siegfried,Harry Mulisch
2547,I Am Madame X,Gioia Diliberto
2548,The Choiring of the Trees,Donald Harington
2549,Le Bossu,Paul FÃ©val pÃ¨re
2550,Farewell to the Island,Gloria Whelan
2551,The Long Shadow,Cynthia Harrod-Eagles
2552,Tutto scorre...,Vasily Grossman
2553,The Wedding Night of an English Rogue,Jillian Hunter
2554,The All of It,Jeannette Haien
2555,A Grain of Wheat,NgÅ©gÄ© wa Thiong'o
2556,The Countess de Charny,Alexandre Dumas
2557,W pustyni i w puszczy,Henryk Sienkiewicz
2558,The Samurai,ShÅ«saku EndÅ
2559,The Street of a Thousand Blossoms,Gail Tsukiyama
2560,The Spy,James Fenimore Cooper
2561,Waltz into Darkness,Cornell Woolrich
2562,The Sword of Honour Trilogy,Evelyn Waugh
2563,The Scarlet Lion,Elizabeth Chadwick
2564,El maestro de esgrima,Arturo PÃ©rez-Reverte
2565,Count Belisarius,Robert Graves
2566,The Grapes of Wrath,John Steinbeck
2567,The River Wife,Jonis Agee
2568,"Good-Bye, Mr. Chips",James Hilton
2569,The Language of Threads,Gail Tsukiyama
2570,Cheri and The Last of Cheri,Colette
2571,The Acts of King Arthur and His Noble Knights,John Steinbeck
2572,Delhi,Khushwant Singh
2573,The Emigrants,Vilhelm Moberg
2574,The World to Come,Dara Horn
2575,One Man's Bible,Gao Xingjian
2576,Beijing Coma,Ma Jian
2577,The Colonel,Mahmoud Dowlatabadi
2578,Jakob the Liar,Jurek Becker
2579,The Dark Rose,Cynthia Harrod-Eagles
2580,How Many Miles to Babylon?,Jennifer Johnston
2581,The Drinker,Hans Fallada
2582,Snobs,Julian Fellowes
2583,The Pilot: A Tale of the Sea,James Fenimore Cooper
2584,Armadale,Wilkie Collins
2585,The Pistoleer,James Carlos Blake
2586,The Founding,Cynthia Harrod-Eagles
2587,The Queen's Gamble,Barbara Kyle
2588,Clifford's Blues,John A.   Williams
2589,Deirdre en de zonen van Usnach,Adriaan Roland Holst
2590,The Devlin Diary,Christi Phillips
2591,The Fortune Hunter,Daisy Goodwin
2592,Troya,Gisbert Haefs
2593,Contos Completos de Machado De Assis,Machado de Assis
2594,Homer's Daughter,Robert Graves
2595,Ange Pitou (Volume 1),Alexandre Dumas
2596,The Mortal Storm,Phyllis Bottome
2597,Over the Gate,Miss Read
2598,The Light That Failed,Rudyard Kipling
2599,White-Jacket: The World in a Man-of-War,Herman Melville
2600,The Golden Fleece,Robert Graves
2601,Cafe Berlin,Harold Nebenzal
2602,The Grenadillo Box,Janet Gleeson
2603,Aurora Leigh and Other Poems,Elizabeth Barrett Browning
2604,The Learning Tree,Gordon Parks
2605,El tango de la Guardia Vieja,Arturo PÃ©rez-Reverte
2606,Conceit,Mary Novik
2607,Mary Barton,Elizabeth Gaskell
2608,Before the Poison,Peter Robinson
2609,Little Manfred,Michael Morpurgo
2610,The Clerkenwell Tales,Peter Ackroyd
2611,Basil,Wilkie Collins
2612,The Pioneers,James Fenimore Cooper
2613,Orgoglio e Pregiudizio,Jane Austen
2614,To Serve Them All My Days,R.F. Delderfield
2615,Work: A Story of Experience,Louisa May Alcott
2616,The Nether World,George Gissing
2617,Omoo: A Narrative of Adventures in the South Seas,Herman Melville
2618,Burung-Burung Manyar,Y.B. Mangunwijaya
2619,Afterglow and Nightfall,Edith Pargeter
2620,The Inquisitors' Manual,AntÃ³nio Lobo Antunes
2621,The Crazed,Ha Jin
2622,All Change,Elizabeth Jane Howard
2623,Shadow of the Serpent,David Ashton
2624,The Gardens of Light,Amin Maalouf
2625,Burning Daylight,Jack London
2626,La Mort du Vazir-Moukhtar,Yury Tynyanov
2627,Not Without Laughter,Langston Hughes
2628,Heart of Darkness,Joseph Conrad
2629,The Gift of Asher Lev,Chaim Potok
2630,The Thief and the Dogs,Naguib Mahfouz
2631,Holden's Performance: A Novel,Murray Bail
2632,Strumpet City,James Plunkett
2633,The Widow's War,Sally Gunning
2634,The Big Wind: A Novel Of Ireland,Beatrice Coogan
2635,The Story of an African Farm,Olive Schreiner
2636,Sylvia's Lovers,Elizabeth Gaskell
2637,Casting Off,Elizabeth Jane Howard
2638,"Because It Is Bitter, and Because It Is My Heart",Joyce Carol Oates
2639,El noventa y tres,Victor Hugo
2640,Quando Lisboa Tremeu,Domingos Amaral
2641,Day After Night,Anita Diamant
2642,Under the Greenwood Tree,Thomas Hardy
2643,Morality Play,Barry Unsworth
2644,Confusion,Elizabeth Jane Howard
2645,"The Complete Novels of Jane Austen, Volume II : Emma, Northanger Abbey, Persuasion",Jane Austen
2646,Tristan: With the Tristran of Thomas,Gottfried von StraÃburg
2647,Marking Time,Elizabeth Jane Howard
2648,Cool Hand Luke,Donn Pearce
2649,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",Unknown
2650,The Light Years,Elizabeth Jane Howard
2651,The Tragedy of Mariam,Elizabeth Cary
2652,The Hakawati,Rabih Alameddine
2653,The Heart of Mid-Lothian,Walter Scott
2654,The Ghost of Hannah Mendes,Naomi Ragen
2655,The Kindness of Women,J.G. Ballard
2656,The Wreck of the Zanzibar,Michael Morpurgo
2657,A Factory of Cunning,Philippa Stockley
2658,A Season to Be Sinful,Jo Goodman
2659,No Longer at Ease,Chinua Achebe
2660,The Tie That Binds,Kent Haruf
2661,To Live,Yu Hua
2662,Refiner's Fire,Mark Helprin
2663,The Book of Eleanor: A Novel of Eleanor of Aquitaine,Pamela Kaufman
2664,Bog Child,Siobhan Dowd
2665,Utz,Bruce Chatwin
2666,Where Dreams Begin,Lisa Kleypas
2667,Avgrunnen,Margit Sandemo
2668,Modern Love,George Meredith
2669,The Prime Minister,Anthony Trollope
2670,The Lottery Ticket,Jules Verne
2671,The Pathfinder,James Fenimore Cooper
2672,Lillias Fraser,HÃ©lia Correia
2673,"Perceval, or, The Story of the Grail",ChrÃ©tien de Troyes
2674,An Imaginary Life,David Malouf
2675,Det tomma hemmet,Lydia Chukovskaya
2676,The Gates of the Alamo,Stephen Harrigan
2677,Virgin Widow,Anne O'Brien
2678,April Lady,Georgette Heyer
2679,Forbidden Places,Penny Vincenzi
2680,The Rose Without a Thorn,Jean Plaidy
2681,The Small House at Allington,Anthony Trollope
2682,Catharine and Other Writings,Jane Austen
2683,O Anjo Branco,JosÃ© Rodrigues dos Santos
2684,Two on a Tower,Thomas Hardy
2685,Nor Will He Sleep,David Ashton
2686,The Song of Hiawatha,Henry Wadsworth Longfellow
2687,The House at Sunset,Norah Lofts
2688,His Favorite Mistress,Tracy Anne Warren
2689,Arthur & George,Julian Barnes
2690,The Young Carthaginian,G.A. Henty
2691,Knight's Acre,Norah Lofts
2692,Pargeters,Norah Lofts
2693,Hammer of the Scots,Charles Randolph Bruce
2694,Barry Lyndon,William Makepeace Thackeray
2695,Molly's Pilgrim,Barbara Cohen
2696,Troubles,J.G. Farrell
2697,A Sister's Promise,Anne Bennett
2698,The Blood Never Dried: A People's History of the British Empire,John Newsinger
2699,On Canaan's Side,Sebastian Barry
2700,Love and Summer,William Trevor
2701,The Stranger's Child,Alan Hollinghurst
2702,Inside the Victorian Home: A Portrait of Domestic Life in Victorian England,Judith Flanders
2703,Peter the First,Aleksey Nikolayevich Tolstoy
2704,Dark Moon of Avalon,Anna Elliott
2705,TransAtlantic,Colum McCann
2706,The Venetian Mask,Rosalind Laker
2707,Quartet for the End of Time,Johanna Skibsrud
2708,Victoria Victorious: The Story of Queen Victoria,Jean Plaidy
2709,The Untouchable,John Banville
2710,The Confidence-Man,Herman Melville
2711,Hardy: Poems,Thomas Hardy
2712,"Sherlock Holmes: The Complete Novels and Stories, Volume II",Arthur Conan Doyle
2713,Before the Dawn,TÅson Shimazaki
2714,"The Abruzzo Trilogy: Fontamara, Bread and Wine, The Seed Beneath the Snow",Ignazio Silone
2715,"Henry IV, Part 2",William Shakespeare
2716,The Lonely Furrow,Norah Lofts
2717,The Illuminator,Brenda Rickman Vantrease
2718,The Rosemary Tree,Elizabeth Goudge
2719,A Blessing on the Moon,Joseph Skibell
2720,Fudoki,Kij Johnson
2721,The Commodore,Patrick O'Brian
2722,Minx,Julia Quinn
2723,A Sweet Disorder,Jacqueline Kolosov
2724,The Sweetest Dream,Doris Lessing
2725,Beyond the Blue Mountains,Jean Plaidy
2726,Haymarket,Martin Duberman
2727,The Tapestry,Nancy Bilyeau
2728,Down the Common: A Year in the Life of a Medieval Woman,Ann Baer
2729,Manituana,Wu  Ming
2730,When We Were Orphans,Kazuo Ishiguro
2731,Georgiana Darcy's Diary: Jane Austen's Pride and Prejudice Continued,Anna Elliott
2732,Fields of Home,Marita Conlon-McKenna
2733,Under the Hawthorn Tree,Marita Conlon-McKenna
2734,Wildflower Girl,Marita Conlon-McKenna
2735,Darshan,Amrit Chima
2736,The Snow Globe,Judith Kinghorn
2737,The Great Gatsby,F. Scott Fitzgerald
2738,Of Mice and Men,John Steinbeck
2739,The Adventures of Huckleberry Finn,Mark Twain
2740,A Tale of Two Cities,Charles Dickens
2741,Great Expectations,Charles Dickens
2742,The Color Purple,Alice Walker
2743,The Name of the Rose,Umberto Eco
2744,All Quiet on the Western Front,Erich Maria Remarque
2745,Atonement,Ian McEwan
2746,The Good Earth,Pearl S. Buck
2747,Heart of Darkness,Joseph Conrad
2748,Oliver Twist,Charles Dickens
2749,A Farewell to Arms,Ernest Hemingway
2750,David Copperfield,Charles Dickens
2751,Beloved,Toni Morrison
2752,The God of Small Things,Arundhati Roy
2753,Roots: The Saga of an American Family,Alex Haley
2754,For Whom the Bell Tolls,Ernest Hemingway
2755,Uncle Tom's Cabin,Harriet Beecher Stowe
2756,The Awakening,Kate Chopin
2757,Things Fall Apart,Chinua Achebe
2758,Middlemarch,George Eliot
2759,The Amazing Adventures of Kavalier & Clay,Michael Chabon
2760,Doctor Zhivago,Boris Pasternak
2761,East of Eden,John Steinbeck
2762,The Remains of the Day,Kazuo Ishiguro
2763,The Chosen,Chaim Potok
2764,"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy
2765,The Reader,Bernhard Schlink
2766,Everything Is Illuminated,Jonathan Safran Foer
2767,The Grapes of Wrath,John Steinbeck
2768,War and Peace,Leo Tolstoy
2769,"I, Claudius",Robert Graves
2770,Brideshead Revisited,Evelyn Waugh
2771,Johnny Got His Gun,Dalton Trumbo
2772,Cannery Row,John Steinbeck
2773,World Without End,Ken Follett
2774,Howards End,E.M. Forster
2775,All the King's Men,Robert Penn Warren
2776,Julius Caesar,William Shakespeare
2777,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn
2778,Foucault's Pendulum,Umberto Eco
2779,Native Son,Richard Wright
2780,Gravity's Rainbow,Thomas Pynchon
2781,Angle of Repose,Wallace Stegner
2782,Ivanhoe,Walter Scott
2783,All the Pretty Horses,Cormac McCarthy
2784,Exodus,Leon Uris
2785,My Name Is Asher Lev,Chaim Potok
2786,Song of Solomon,Toni Morrison
2787,Around the World in Eighty Days,Jules Verne
2788,The House of Mirth,Edith Wharton
2789,Silas Marner,George Eliot
2790,A Passage to India,E.M. Forster
2791,The Iliad,Homer
2792,The Last of the Mohicans,James Fenimore Cooper
2793,The Kitchen God's Wife,Amy Tan
2794,The Tin Drum,GÃ¼nter Grass
2795,Germinal,Ãmile Zola
2796,The Forty Rules of Love,Elif Shafak
2797,The Decameron,Giovanni Boccaccio
2798,The Tale of Genji,Murasaki Shikibu
2799,The Red Badge of Courage,Stephen Crane
2800,Mother Night,Kurt Vonnegut Jr.
2801,The Complete Anne of Green Gables Boxed Set,L.M. Montgomery
2802,Year of Wonders,Geraldine Brooks
2803,The Quiet American,Graham Greene
2804,Innocent Traitor,Alison Weir
2805,Quo Vadis,Henryk Sienkiewicz
2806,An American Tragedy,Theodore Dreiser
2807,Darkness at Noon,Arthur Koestler
2808,Ragtime,E.L. Doctorow
2809,The Tea Rose,Jennifer Donnelly
2810,The Painted Bird,Jerzy KosiÅski
2811,Narcissus and Goldmund,Hermann Hesse
2812,Three Comrades,Erich Maria Remarque
2813,A Suitable Boy,Vikram Seth
2814,Dead Souls,Nikolai Gogol
2815,Taiko: An Epic Novel of War and Glory in Feudal Japan,Eiji Yoshikawa
2816,The Last Temptation of Christ,Nikos Kazantzakis
2817,The Sunne in Splendour,Sharon Kay Penman
2818,War and Remembrance,Herman Wouk
2819,The Alexandria Quartet,Lawrence Durrell
2820,The Power and the Glory,Graham Greene
